Process,DBN,School Name,Program Code,Program Name,Admissions Method for Students Entering in Fall 2020,Diversity In Admissions Priority for Students Entering in Fall 2020,Selection Criteria for Students Entering in Fall 2020
ES,01M015,P.S. 015 Roberto Clemente,01M015GTD,District Gifted & Talented,District G&T,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M015,P.S. 015 Roberto Clemente,01M015KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M019,P.S. 019 Asher Levy,01M019KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M020,P.S. 020 Anna Silver,01M020CH,Chinese Dual Language,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M020,P.S. 020 Anna Silver,01M020KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
ES,01M020,P.S. 020 Anna Silver,01M020SP,Spanish Dual Language,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
HS,02M047,47 The American Sign Language and English Secondary School,M54A,American Sign Language Studies Program,Screened,,Attendance; Course Grades: English; Individual Interview (On-Site); Punctuality; Standardized Test Scores: English Language Arts
ES,02M051,P.S. 051 Elias Howe,02M051KG,Kindergarten,Zoned,,
ES,02M059,P.S. 059 Beekman Hill International,02M059KG,Kindergarten,Zoned,,
ES,01M034,P.S. 034 Franklin D. Roosevelt,01M034KG,Kindergarten,Non-Zoned,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
MS,01M034,P.S. 034 Franklin D. Roosevelt,M034L,Franklin Delano Roosevelt (P.S. 34),Limited Unscreened,"Kindergarten: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are English Language Learners. For the 2020-21 School Year, this group was prioritized for 67% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 33% of seats.
Pre-K: District 1 schools give priority to two groups of applicants. The percentage of seats prioritized for each group is based on the applicant pool and changes each year: Group 1. Applicants who are eligible for free or reduced price lunch (based on family income), live in temporary housing, or are Emergent Multilingual Leaners. For the 2020-21 School Year, this group was prioritized for 61% of seats. Group 2. Students who do not fall into any of the above categories. For the 2020-21 School Year, this group was prioritized for 39% of seats.",
